kind,title,leaders,start,finish,location,lat,lon,description
community,Mock Search w/ CoCo SAR,Marciniak,2009-05-09,"",Mt Diablo,,,Mock search led by CoCo SAR.
meeting,General, (not 3rd Monday),2009-05-11,2009-05-11,Castro Valley,37.7207,-122.0962,""
training,All-Unit SMSO Mock Search,ESD/Parker,2009-05-16,"",San Mateo County,,,A 'Mock Search' collaboration of the various county search resources to practice a multi-subject search.  Further details will be revealed when the team is paged to the incident.  Members and Trainees only.  (So get your applications in!)
community,CalMRA Regions meting,Chang,2009-05-16,"",Sierra Madre,,,Chang presenting BAMRU/SMCSO. Chang also Vice-Chair. Evaluation of recertification of San Bernardino Cave Rescue and San Bernardino West Valley SAR teams on Technical Rock. 
training,Tracking,Cavalieri,2009-05-17,"",San Mateo Co,,,Tracking exercise. Open to guests by permission from BAMRU leadership.
training,Skills Night - Knots & White Board Analysis,Frantz,2009-05-20,"",East Palo Alto,,,"Skills night is a supplement to the regular training schedule. These nights are used to focus on specific skills required by the training packet, practice weak area of our knowledge, or test ideas outside of our busy weekend trainings.<br><br>The primary focus of the May Skills Night is knots. If there is extra time, we will address other topics in the Personal Climbing Skills and/or Technical Rope Rescue sections of the training handbook."
community,Stanford Med School Guest Lecture,Tubbesing/Chang,2009-05-20,"",Stanford Med School,,,Guest Lecture at Stanford Med School class on Wilderness and Travel Medicine
training,Rock Skills,Marciniak,2009-06-06,2009-06-07,Tahoe area,,,"Two day course in general rock skills applied to SAR applications. Topics include Anchors (trad gear and natural protection), belaying, Rappelling, Basic self-rescue, jugging, and using your emergency evac equipment. Focus will be on both theory and practice. "
meeting,General,"",2009-06-15,2009-06-15,Redwood City,37.4888,-122.2305,""
community,Bay Area Training for Search & Rescue (BATSAR),Little,2009-06-20,"","Coyote Point Rec Area, San Mateo, CO",,,"Bay Area wide training for Search and Rescue. Start at 0800 hrs. Coyote Point Recreation Area, 1651 Coyote Point Drive, San Mateo, CA. http://www.basarc.org/batsar"
community,50th Anniversary MRA Mtg,Chang,2009-06-26,2009-06-28,"Mt Hood, OR",,,<a href='http://mra.org/training/events.php'>Info from MRA here</a>
community,WS-100,Benner/Marciniak,2009-06-27,2009-06-28,Sierras,,,Benner and Marciniak providing medical support for WS-100 (100 mile trans-Sierra race). Will have the BAMRU truck.
training,SMSO Driving Training,ESD,2009-07-01,"",RWC,,,"Lecture: July 1st, 7-9pm. Practice: July 11th, time TBD. Open to trainees and members only."
training,Advance Rock Skill Practicum,Marciniak,2009-07-01,2009-07-03,Yosemite Valley,,,Marciniak taking a limit number to climb Royal Arches. Focus on simul-climbing and moving efficiently on 5th class terrain. 
training,Skills Night - Technical Rescue ,Frantz,2009-07-15,"",East Palo Alto,,,"Skills night is a supplement to the regular training schedule. These nights are used to focus on specific skills required by the training packet, practice weak area of our knowledge, or test ideas outside of our busy weekend trainings.<br><br>The primary focus of the July Skills Night is the Radium Load Releasing Hitch. This is one of the most complex components of a system and is easy to teach separate from the rest of the system. If there is extra time, we will address other topics in the Technical Rope Rescue sections of the training handbook."
meeting,General,"",2009-07-20,2009-07-20,Castro Valley,37.7207,-122.0962,""
training,Basic Technical Rescue,"Rahe, Hoagland, Frantz",2009-07-25,2009-07-26,Marin Headlands,,,Basic Technical Rescue systems
community,Explorer Medical Support,Marciniak,2009-07-30,2009-08-02,Big Basin,,,Marciniak providing medical support and instruction for explorer camp.
meeting,General,"",2009-08-17,2009-08-17,Redwood City,37.4888,-122.2305,""
training,Alpine Skills,Jacobs,2009-08-21,2009-08-23,Little Lakes Valley,,,"The training will focus on lightweight techniques for covering distances quickly in an Alpine environment and on developing/increasing comfort in mountain settings. The training will include a peak attempt over Class III terrain at altitude (13-14k). Basic snow travel / safety (i.e. ice axe arrest, crampon technique) will be practiced if conditions permit. This training will not teach ice axe and crampon technique. Open to members and select trainees with leader approval. Friday the 21st will be an optional day trip out of Tuolumne Meadows focusing on roped, technical travel over easy 5th class terrain."
community,SAREX 2009,TBA,2009-09-11,2009-09-13,Yosemite,,,http://sarex2009.com/
training,Advanced Technical Rescue (New Date),Marciniak,2009-09-18,2009-09-20,Yosemite Valley,,,"Advanced technical rescue training on designing, building and operating a variety of rescue systems. Attendance at prior Basic Technical Rescue Training is required. [Guests at discretion of Training Leader.]"
community,BASARC,TBA,2009-09-19,"",Marin SAR,,,BASARC Meeting
community,CRMRA regions meeting,Chang,2009-09-19,"",Ventura,,,MRA California Region meeting
meeting,General,"",2009-09-21,2009-09-21,Castro Valley,37.7207,-122.0962,""
community,Ham Radio Study & Testing,BAEARS.com,2009-10-17,"",Fremont,,,"The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
meeting,General,"",2009-10-19,2009-10-19,Redwood City,37.4888,-122.2305,""
training,Medical Skills & Scenarios (New Date),Benner,2009-10-24,"","San Mateo Co, CA",,,"We will take our skills and knowledge and put it to use. We will have various search and rescue scenarios in the field, ranging from locating patients, assessing them, treating any injuries and organizing an appropriate type of evacuation with various search and rescue equipment.We will practice immobilizing fractures and injuries with different types of devices, packaging patients with various injuries, and work with medical equipment. We will discuss mass casualty triage and possibly how to be a first responder upon the scene of a motor vehicle accident and general traffic management tips.Participation is open to BAMRU members, trainees & possibly guests with prior permission from leader."
community,Mock Search with Inyo SAR,Cliff Agocs,2009-10-30,2009-11-01,Death Valley,,,Mock search exercise hosted by Inyo SAR in Death Valley.
community,Election Nominations,Benner/Marciniak,2009-11-01,"",TBA,,,"BAMRU Officer elections are held in November. The Nominating Committee, which is usually the two continuing Board of Directors members, will provide a slate of at least one candidate for each office. Contact Benner and Marciniak if you are interested in serving as an officer or Director in 2010. "
community,Merit Award Nominations due,Grossman,2009-11-01,"",TBA,,,Merit Award Nominations due
community,ITRS,Chang,2009-11-05,2009-11-08,"Pueblo, Co",,,International Technical Rescue Symposium. http://www.itrsonline.org/
community,BASARC,TBA,2009-11-07,"",Contra Costa SAR,,,BASARC Meeting
community,CRMRA certification test CoCoSAR Rock,Chang,2009-11-14,"",Mt. Diablo,,,"John C., Martin, & Lucas proctoring Rock test"
meeting,General,"",2009-11-16,2009-11-16,Castro Valley,37.7207,-122.0962,""
training,Trainee Skills Sign-off,Tompos,2009-11-21,"",Castro Valley ,,,"Trainee packet sign off. An important opportunity for Trainee Members to make progress on their skills.Meet at the Castro Valley classroom at 9:30 am. Radio, Search Strategy and Navigation as well as assortment of other skills to practice and demonstrate.Trainees and members only."
training,Holiday Gathering,Jensen,2009-12-06,"",SF,,,End-of-year celebration and socializing. Spouses/Partners encouraged to attend. 
operation,Deceased Hiker Recovered,Frantz,2010-01-24,"",Santa Cruz Mountains,37.3992,-122.2937,[http://bamru.blogspot.com/2010/01/deceased-hiker-recovered.html]
operation,BAMRU Search in Point Reyes,Marciniak,2010-01-26,"",Point Reyes,38.0907,-122.9212,[http://bamru.blogspot.com/2010/01/bamru-search-in-point-reyes.html]
community,ESB All Unit Meeting,Joe Sheridan,2010-01-27,"","Jury Assembly Room, RWC",,,"Meeting for all units / all members within ESB.  Starts at 1900. The Jury assembly room is at 400 County Center, Redwood City, on the basement level."
operation,Missing Hiker in Henry Coe,Marciniak,2010-01-31,"",Henry Coe State Park,37.1693,-121.4228,[http://bamru.blogspot.com/2010/01/missing-hiker-in-henry-coe.html]
community,BASARC Section Chief Training,Hoagland,2010-02-13,2010-02-14,Marin EOC,,,"BASARC Section Chief Training. Limited availability, by UL appointment only. Part 1 of 2."
operation,Evacuation of Injured Ice Climber,"Rahe, Walton",2010-02-13,"",Eagle Creek,38.9436,-120.1204,[http://bamru.blogspot.com/2010/02/day-of-ice-climbing-turns-into.html]
operation,Rogue Wave at Mavericks,Seffens,2010-02-15,"",Half Moon Bay,37.4961,-122.4952,[http://bamru.blogspot.com/2010/02/rogue-wave-at-mavericks.html]
community,BASARC Section Chief Training,Hoagland,2010-02-20,2010-02-21,Marin EOC,,,"BASARC Section Chief Training, limited availability, by UL appointment only. Part 2 of 2."
operation,Luckiest Man in Tahoe,TBA,2010-03-05,"",Donner Pass,39.3687,-120.3794,[http://bamru.blogspot.com/2010/03/luckiest-man-in-tahoe.html]
community,MRA Recert,"Little, Lass",2010-03-06,"","Malibu Creek State Park, CA",,,Cal MRA Recert hosted by Malibu SAR.
community,Tracking Training,Somoma County SAR,2010-03-13,2010-03-14,Lake Sonoma,,,"Sonoma County SAR will be hosting a free training at Lake Sonoma on March 13 and March 14 . It will be the pilot for a future NASAR class on tracking. We will be camping at Lake Sonoma. Please RSVP to me at : gdresnek at sonoma-county dot orgMembers: If you would like to go, please contact the training officer ASAP."
community,Ham Radio Study & Testing,BAEARS.com,2010-04-03,"",Morgan Hill,,,"The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
community,Basic Tracking Class,Professional Trackers,2010-04-03,2010-04-05,Hayfork,,,"BASIC TRACKING CLASSFernando Moreira will be holding a Track Aware and SAR Tracking Class for on April 3. The class will start at 0500 hrs on the 3 of April and will go through April 5 at 1300 hr. The cost is shown on Fernando Website: http://blog.professionaltrackers.com/events/We have 5 members of the State Department that will be attending. We have room for 7 more Trackers.This class will be held in Trinity County Hayfork, CA for directions contact wolfhaven530 at earthlink dot netMembers: If you want to attend, contact the training officer ASAP."
community,Professional Tracking Services Class,Professional Tracking Services,2010-04-16,2010-04-18,Sonoma County,,,"Professional Tracking Services will be having a class in Sonoma County on April 16-17-18 . It is a POST--Track Aware and POST--Search and Rescue Tracker Certificate. We will be tent camping for two nights . The cost is $150.00 . Please contact me at : gdresnek at sonoma-county dot org. If you plan on attending I will need a check or pay pal receipt no later than April 1st. Members: if you want to go to this, please contact the training officer ASAP."
meeting,General,"",2010-04-19,2010-04-19,Castro Valley - 2010,,,""
meeting,General,"",2010-05-17,2010-05-17,Redwood City,37.4888,-122.2305,""
community,Fernando Moreira's Trackers Camp,TBA,2010-06-09,2010-06-12,"Reno, NV",,,http://blog.professionaltrackers.com/events/4-day tracking camp for the SAR community
operation,Cantu Search Update,TBA,2010-06-15,"","Tracy, CA",37.75,-121.4685,[http://bamru.blogspot.com/2010/06/cantu-search.html]
operation,Statewide Search Activity,TBA,2010-06-21,"",Butte County,39.6254,-121.537,[http://bamru.blogspot.com/2010/06/bamru-search-activity.html]
community,WS-100 Medical support,Marciniak,2010-06-26,2010-06-27,"Auburn, CA",,,BAMRU providing medics for WS-100 ultra Marathon. Stationed at ALT (mile 85).
community,SMCSAR Preplan Exercise ,Ethan Frantz,2010-06-26,"",Butano State Park,,,"The pre-planning exercises are designed to help us gather data on a park or open space in regards to terrain, vegetation, hazards, high-probability areas, command post logistics, and communications challenges.  As with our previous efforts at Sam McDonald Park and Russian Ridge OSP, this exercise will focus on using the same protocols that we would use on an actual search:  teams will be formed, given assignments, briefed and dispatched.  When those teams return, they will be debriefed for information about their assigned area, and GPS tracks and waypoints will be downloaded. In addition to the benefits we receive from our exposure to the parks, we also meet with the rangers that work these areas and develop relationships that will pay dividends when we respond to search emergencies.  While I was meeting with the Supervising Ranger for Butano, a 10 year old girl suffered a fall in the park and suffered a broken arm  radius and ulna fractures, with severe angulation.  She was only about a quarter of a mile from the campground, and the call was handled by CalFire and AMR with the Ranger and myself assisting.  But it was clear that if she had been much further away from the campground, it was exactly the kind of carryout that we would be engaged in.  "
community,Western States UltraMarathon,Marciniak,2010-07-01,"",Auburn,38.9917,-120.9245,[http://bamru.blogspot.com/2010/07/western-states-ultramarathon.html]
operation,Search in Marin County,Frantz,2010-07-08,"",Pt. Reyes,38.0183,-122.8549,[http://bamru.blogspot.com/2010/07/search-in-marin-county.html]
meeting,General,"",2010-07-19,2010-07-19,Redwood City,37.4888,-122.2305,""
community,Orientation to Cave Rescue,Ethan Frantz,2010-07-24,2010-07-25,San Andreas and California Caverns,,,"The National Cave Rescue Commission's (NCRC) Orientation to Cave Rescue (OCR) is an intensive two-day introduction to the science and management of cave rescue operations. Led by a team of highly qualified instructors, the techniques and skills you will learn from this seminarmay be directly applied to cave rescue scenarios across the western  states. Day 1 will include class sessions and surface exercises designed to teach a wide range of concepts and skills unique to cave rescue. Day 2 will deliver an underground mock rescue and debriefing custom-designed by the instructors to test and challenge your new skills. For more information: http://www.caves.org/ncrc/ncrc-wr/OCR2010_Registration.pdf Questions: Contact Ethan Frantz"
meeting,General,"",2010-08-16,2010-08-16,Castro Valley,37.7207,-122.0962,""
operation,Missing Woman Found Alive,TBA,2010-08-30,"",Hillsborough,37.5721,-122.3927,[http://bamru.blogspot.com/2010/08/missing-woman-found-alive.html]
operation,Treatment and Evacuation on Mt. Diablo,Daley,2010-08-30,"",Mt. Diablo,37.8816,-121.9138,[http://bamru.blogspot.com/2010/07/treatment-and-evacuation-on-mt-diablo.html]
operation,A Search Comes to and End,TBA,2010-09-05,"",Whorl Mountain,38.0738,-119.3835,[http://bamru.blogspot.com/2010/09/search-comes-to-end.html]
operation,BAMRU at the San Bruno Fire,Chang,2010-09-12,"",San Bruno,37.6485,-122.4479,[http://bamru.blogspot.com/2010/09/bamru-at-san-bruno-fire.html]
meeting,General,"",2010-09-20,2010-09-20,Redwood City,37.4888,-122.2305,""
community,Ham Radio Study & Testing,BAEARS.com,2010-09-25,"",Redwood City,,,"The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
meeting,General,"",2010-10-18,2010-10-18,Castro Valley,37.7207,-122.0962,""
operation,Butte County Search,Kantarjiev,2010-10-25,"",Butte County,39.9666,-121.2651,[http://bamru.blogspot.com/2010/10/butte-county-search.html]
community,International Tech Rescue Symposium,n/a,2010-11-04,2010-11-07,"Golden, CO",,,http://www.itrsonline.org/. 
meeting,General,"",2010-11-15,2010-11-15,Redwood City,37.4888,-122.2305,""
operation,Midnight Mountain Search,Frantz,2010-11-28,"",Santa Cruz Mountains,37.202,-122.3278,[http://bamru.blogspot.com/2010/11/midnight-mountain-search.html]
operation,Cold Night in Loma Mar,Herman,2010-12-09,"",Loma Mar,37.2711,-122.3086,[http://bamru.blogspot.com/2010/12/cold-night-in-loma-mar.html]
community,Holiday Party,Abi Rankin,2010-12-18,"",Abi's,,,BAMRU's annual holiday party. 
operation,Sierra Crest Search,Marciniak,2010-12-30,"",Alpine Meadows,39.1785,-120.2277,[http://bamru.blogspot.com/2011/01/sierra-crest-search.html]
community,California Region MRA,TBA,2011-01-15,"",Redwood City,,,"CALMRAs regional meeting is hosted by BAMRU of the San Mateo County Sheriff's Office. The meeting will be held Saturday, January 15th from 09:00 to 12:00 at 500 Allerton, Redwood City, 94063. "
operation,Marin County Search,Dimmler,2011-01-29,"","Ross, CA",37.9624,-122.555,[http://bamru.blogspot.com/2011/01/marin-county-search.html]
operation,Shasta Search,Yaffe,2011-02-20,"",Mt. Shasta,41.3254,-122.1935,[http://bamru.blogspot.com/2011/02/shasta-search.html]
training,Winter Skills,Jacobs,2011-02-26,2011-02-27,Tahoe,,,Winter team skills training.
operation,Golden Gate Park Search,Lass,2011-02-28,"",San Francisco,37.769,-122.4835,[http://bamru.blogspot.com/2011/02/golden-gate-park-search.html]
community,MRA Recert,Jensen,2011-03-05,"","Alabama Hills, Lone Pine",,,Cal MRA Recertification 2011: Technical Rock. Hosted by Ventura County in the Alabama Hills near Lone Pine.Details: www.crmra.org/recert_2011
operation,Missing Sonoma Man,Kantarjiev,2011-03-07,"",Mendocino,39.3077,-123.7995,[http://bamru.blogspot.com/2011/03/missing-sonoma-man.html]
operation,Tsunami Response,Frantz,2011-03-14,"",San Mateo Coast,37.4636,-122.4286,[http://bamru.blogspot.com/2011/03/tsunami-response.html]
operation,Storm Watch,Frantz,2011-03-25,"",San Mateo County,37.2519,-122.3826,[http://bamru.blogspot.com/2011/03/storm-watch.html]
operation,Three Hikers Found,Chang,2011-03-27,"",Lake County,39.4219,-122.9522,[http://bamru.blogspot.com/2011/03/three-hikers-found.html]
operation,Snowboarder Located,Jensen,2011-03-28,"",Sierra at Tahoe,38.8097,-120.0811,[http://bamru.blogspot.com/2011/03/missing-snowboarder-located.html]
operation,Sonoma Mutual Aid,Frantz,2011-03-29,"",Annadel State Park,38.4134,-122.624,[http://bamru.blogspot.com/2011/03/sonoma-mutual-aid.html]
operation,Portola 10-22,Frantz,2011-03-31,"",Portola State Park,37.2388,-122.2014,[http://bamru.blogspot.com/2011/03/portola-10-22.html]
operation,Devil's Canyon Search,Little,2011-04-11,"",Santa Cruz Mountains,37.2768,-122.1987,[http://bamru.blogspot.com/2011/04/devils-canyon-search.html]
operation,San Carlos Search,Marcinak,2011-04-14,"",San Carlos Hills,37.4828,-122.2836,[http://bamru.blogspot.com/2011/04/san-carlos-search.html]
training,Tracking Class,"Fernando Moreia, Professional Tracking Services",2011-04-22,2011-04-24,Lake Sonoma,,,"Posted by: 'George Dresnek' gdresnek@sonoma-county.org Mon Jan 31, 2011 10:05 am (PST) We will be hosting both a Beginner Tracker and Advanced Tracker class at Lake Sonoma on April 22-23-24 , 2011 .  The lead instructor will be Fernando Moreia of Professional Tracking Services .  Cost is $150.  for either class .  We will be tent camping at the lake , bring your own food.  Reservations and payments (paypal accepted) must be in by April 8 .  The beginner class will start at 1700 in the visitor center at the base of the dam and the advanced class will start at 0800 in the field. "
training,MAS Mountaineering Training,Schott,2011-04-23,2011-04-24,Bear Valley,,,"Mountain Adventure Seminars (MAS), the same vendor that offers us an excellent Avy-1 course, is extending the BAMRU discount to its mountaineering courses.  We can get 15% off. On April 23-24, they offer a two day mountaineering seminar at Bear Valley that combines two workshop in one weekend: 'Crampon & Ice Axe Workshop' and 'Rope Team / Snow Anchor Workshop'.  Detailed descriptions below.  The discounted cost is $208.  MAS website: http://www.mtadventure.com/pages/mountaineering.html#seminar Use coupon code 'BAMRU2' to get the discounted price."
community,Testing 2 for cak V2,TBA,2011-04-29,"",TBA,,,"modify this one

this was modified 1900 2012-04-10"
community,Dream Machine,TBA,2011-05-01,"",San Mateo County,,,BAMRU often works with the County of San Mateo to provide support services at public events:www.miramarevents.com/dreammachines
operation,Missing Student Found,Frantz,2011-05-09,"",Annadel State Park,38.4391,-122.6294,[http://bamru.blogspot.com/2011/05/missing-student-found.html]
operation,Golden Gate Search,Frantz,2011-05-24,"",SF Presidio,37.8035,-122.4776,[http://bamru.blogspot.com/2011/05/golden-gate-search.html]
training,BASARC Joint Traininng,TBA,2011-06-11,"",TBA,,,Joint training with BASARC and CoCoSAR.  Simulated mock search.  Location TBD.
community,WS-100 Medical support,Marciniak,2011-06-25,2011-06-26,"Auburn, CA",,,Select group will be operating a WS-100 (Trans-Sierra Ultra Marathon) medical station. 
community,4th of July Parade,SMC,2011-07-04,"",Half Moon Bay,,,"BAMRU often works with the County of San Mateo to provide support services at public events.  Floats pulled by tractors and vintage cars, dogs in costume and 4H accomplishments on display! Fourth of July in Half Moon Bay begins with an 'Old Fashioned Parade' down Main Street from 12:00 at noon."
community,Coastside Fireworks,SMC,2011-07-04,"",El Granada,,,BAMRU often works with the County of San Mateo to provide support services at public events.  No Fourth of July would be complete with out fireworks! Coastside Fireworks in El Granada starts at 18:30.
operation,Amador County Search,Parker,2011-07-04,"",El Dorado National Forest,38.5916,-120.2057,[http://bamru.blogspot.com/2011/07/amador-county-search.html]
operation,Missing Hiker,Hoagland,2011-07-07,"",Portola State Park,37.2346,-122.2352,[http://bamru.blogspot.com/2011/07/missing-hiker-in-portola-state-park.html]
community,Search & Rescue 101,Mandish,2011-07-18,"",REI Store - Saratoga,,,"Join John Mandish with the Bay Area Mountain Rescue Unit (BAMRU) at REI's Saratoga Store on Monday, July 18th from 7:30P to 8:30P for a presentation on staying safe outdoors.  Learn what you should do if someone you know goes missing, and what to do if you're the one who needs help. If you register for this free class at http://www.rei.com/event/23812/session/29405, REI will hold a seat for you until the scheduled start time.  Seating may be available at the door, even if registration is closed. REI Saratoga: 400 El Paseo de Saratoga, San Jose 95130; (408) 871-8765 "
community,Search & Rescue 101,Mandish,2011-07-27,"",REI Store - San Francisco,,,"Join John Mandish with the Bay Area Mountain Rescue Unit (BAMRU) at REI's San Francisco Store on Wednesday, July 27th from 7:00P to 8:30P for a presentation on staying safe outdoors.  Learn what you should do if someone you know goes missing, and what to do if you're the one who needs help.  If you register for this free class at http://www.rei.com/event/24174/session/29819/08032011, REI will hold a seat for you until the scheduled start time.  Seating may be available at the door, even if registration is closed. REI San Francisco: 840 Brannan St 94103; (415) 934-1938 (free parking in lot behind store) "
community,Explorer ERT,SMC,2011-07-31,"",Camp Cutter,,,"BAMRU often works with the County of San Mateo to provide support for other in county trainings.  The Explorer Emergency Response Training Course (ERT) is a four-day (40-hour) wilderness camping program held at the Cutter Scout Reservation in the Santa Cruz Mountains.  Hands on training includes Wilderness First Aid, disaster response, urban rescue, wilderness search techniques, water rescue, and cliff rescue training.  Sunday's technical scenario will include building anchors, rappelling, use of the stokes rescue litter, and using mechanical advantage. "
operation,Covelo Search,Hoagland,2011-08-03,"",Mendocino National Forest,39.7615,-123.232,[http://bamru.blogspot.com/2011/08/covelo-search.html]
training,CPR Class,San Mateo County,2011-08-06,"",Redwood City,,,455 County Center Room 100 Redwood City CA 94063
community,Tour de Peninsula ,TBA,2011-08-07,"",San Mateo County,,,BAMRU often works with the County of San Mateo to provide support services at public events:www.supportparks.org/tdp
community,Search & Rescue 101,Mandish,2011-08-16,"",REI Store - Marina (Monterey),,,"Join John Mandish with the Bay Area Mountain Rescue Unit (BAMRU) at REI's Marina Store on Tuesday, August 16th from 7:30P to 8:30P for a presentation on staying safe outdoors.  Learn what you should do if someone you know goes missing, and what to do if you're the one who needs help.  If you register for this free class at http://www.rei.com/stores/113, REI will hold a seat for you until the scheduled start time.  Seating may be available at the door, even if registration is closed. REI Marina: Exit 408/Imjin Parkway on Highway One, 145 General Stilwell Drive 93933; (831) 883-8048 "
community,North Fair Oaks Festival,TBA,2011-08-21,"",San Mateo County,,,BAMRU often works with the County of San Mateo to provide support services at public events:www.northfairoaksfestival.org 
community,Concours d'Elegance,SMC,2011-08-28,"",Hillsborough,,,BAMRU often works with the County of San Mateo to provide support services at public events: www.hillsboroughconcours.org The Hillsborough Concours dElegance celebrates excellence in automotive design and engineering by offering a forum for vintage car owners to showcase and compete for recognition in preserving automotive authenticity.  
community,SAREX - 2011,Fresno-SAR,2011-09-09,2011-09-11,Hume Lake,,,"SAREX is an annual northern California Search and Rescue Exercise sponsored by the California Emergency Management Agency (Cal-EMA), in cooperation with a host agency, or group of agencies. SAREX rotates annually throughout northern California county venues. 2011 venue is Hume Lake in Fresno County."
operation,Huddart Park Find,Yaffe,2011-10-02,"",Woodside ,37.4347,-122.2966,[http://bamru.blogspot.com/2011/10/huddart-park-find.html]
operation,Kings Canyon Search,Gleason,2011-10-03,"",Kings Canyon,36.801,-118.6953,[http://bamru.blogspot.com/2011/10/kings-canyon-search.html]
operation,Redwoods Search,Hoagland,2011-10-08,"",Sonoma County,38.5412,-123.0085,[http://bamru.blogspot.com/2011/10/armstrong-redwoods-search.html]
operation,San Carlos Search,Frantz,2011-10-24,"",San Carlos,37.4954,-122.2923,[http://bamru.blogspot.com/2011/10/san-carlos-search.html]
community,Holiday Party,TBA,2011-12-17,"",Bay Area,,,BAMRU Annual Holiday Party. Gonna be fun!
operation,Pacifica Search,Frantz,2012-01-15,"",Pacifica,37.5865,-122.5056,[http://bamru.blogspot.com/2012/01/pacifica-search.html]
community,SO Driver's Training Classroom,TBA,2012-01-18,"",400 County Center Redwood City CA 94063,,,Wed Jan 18 7pm  10pm
community,SO Vehicle Training,TBA,2012-01-21,"",Jury Assembly lot,,,"Part 2: This is the 'practical' half of the required SO vehicle training, in which we spend time driving and parking the various SO vehicles. Completion of both parts is required for the signoff."
operation,Missing Man,Frantz,2012-01-22,"",Daly City,37.6704,-122.492,[http://bamru.blogspot.com/2012/01/missing-man-in-daly-city.html]
community,Leadership Offsite,TBA,2012-01-23,"",Redwood City,,,""
community,Ham Cram,WB6ZBU,2012-01-28,"",San Francisco,,,"The Event Center at Saint Marys Cathedral
1111 Gough Street
San Francisco, CA 94109-6686

Register at http://www.baears.com/index.php?option=com_seminar&Itemid=60

Details at http://www.baears.com/files/Flyer.pdf"
community,(BASARC section chief),TBA,2012-02-11,2012-02-12,Martinez,,,"Contra Costa County Sheriffs EOC
50 Glacier Drive
Martinez, CA 94553"
operation,Skyline Search,Marcinak,2012-02-12,"",Skyline Blvd.,37.3743,-122.2591,[http://bamru.blogspot.com/2012/02/skyline-blvd-clouds-rest-search.html]
community,(BASARC section chief),TBA,2012-02-18,2012-02-19,Martinez,,,"Contra Costa County Sheriffs EOC
50 Glacier Drive
Martinez, CA 94553"
operation,Mori Point Search,Kantarjiev,2012-03-17,"",Pacifica,37.6198,-122.4969,[http://bamru.blogspot.com/2012/03/mori-point-search.html]
community,Leadership Offsite,TBA,2012-04-09,"",Redwood City,,,""
community,SAR Tracking Class,Moreira,2012-04-13,2012-04-15,"Hayfork, CA",,,"The SAR Tracking Class in Hayfork, CA will be held on April 13 - 15th. The cost is $150 and you must sign up and have your money into Fernando Moriera 2 weeks prior to the class. Camping will be available at Wolfhaven Ranch but you can bring a mobile travel trailer and stay at the Trinity County Fairgounds. They have hook-ups and showers available. The class will be held within 5 miles of Wolfhaven Ranch.

If you stay at the ranch, please be sure to bring a tent and a sleeping bag. But I'm sure you are prepared for all weather. I do have a hay barn and a garage that is in the process of being built.

Information on Trinity County:
http://en.wikipedia.org/wiki/Trinity_County,_California

Please sign up http://blog.professionaltrackers.com/events/signup-form/ "
